Platform,Category,UserRecordType,Title,Country,ReleaseType,Publisher,Developer,Genre,CreatedAt,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Notes,Tags,metacritic
"NES/Famicom","Games","Owned","1942","United States of America","Official","Capcom USA, Inc.","Micronics","Action, Shoot 'em up","Jan 20, 2022","Loose","14.75","69.98","280.00","14.75","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","1943: The Battle of Midway","United States of America","Official","Capcom USA, Inc.","Capcom","Action, Shoot 'em up","Jan 4, 2022","Loose","16.97","57.10","228.00","16.97","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","720°","United States of America","Official","Mindscape, Inc.","Atari Games","Sports","Jan 12, 2021","CIB","8.46","39.96","315.23","39.96","12.50","?","?","?","","","0"
"NES/Famicom","Games","Owned","8 Eyes","United States of America","Official","Taxan","Thinking Rabbit","Adventure","Jan 4, 2022","Loose","16.73","44.85","176.33","16.73","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Bandai Golf: Challenge Pebble Beach","United States of America","Official","Bandai Co., Ltd.","Tose Co., Ltd.","Sports","Jan 4, 2022","Loose","3.29","14.48","97.49","3.29","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Base Wars","United States of America","Official","Ultra Games","Konami","Sports","Mar 1, 2020","Boxed","9.97","34.99","160.19","34.92","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Baseball","United States of America","Official","Nintendo","Nintendo","Sports","Jan 4, 2022","Loose","10.86","39.94","399.99","10.86","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Baseball Stars","United States of America","Official","SNK","SNK","Sports","Mar 1, 2020","Loose","15.00","50.08","200.00","15.00","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Bases Loaded","United States of America","Official","Jaleco Ltd.","Jaleco Ltd.","Sports","Mar 1, 2020","Loose","5.93","17.00","139.47","5.93","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Bases Loaded II: Second Season","United States of America","Official","Jaleco Ltd.","Tose Co., Ltd.","Sports","Mar 1, 2020","Loose","6.29","24.99","184.99","6.29","-1.0","?","?","?","","","0"
